DateTime,Area,Rainfall (mm/hr),Precipitation Type,Month
1/3/2025 2:00,Sample Area,0,No rainfall,1
1/3/2025 3:00,Sample Area,0,No rainfall,1
1/3/2025 4:00,Sample Area,0.83,Moderate,1
1/3/2025 5:00,Sample Area,0,No rainfall,1
1/3/2025 6:00,Sample Area,0,No rainfall,1
1/3/2025 7:00,Sample Area,0,No rainfall,1
1/3/2025 8:00,Sample Area,0,No rainfall,1
1/3/2025 9:00,Sample Area,0,No rainfall,1
1/3/2025 10:00,Sample Area,0,No rainfall,1
1/3/2025 11:00,Sample Area,0,No rainfall,1
1/3/2025 12:00,Sample Area,0,No rainfall,1
1/3/2025 13:00,Sample Area,0,No rainfall,1
1/3/2025 14:00,Sample Area,0,No rainfall,1
1/3/2025 15:00,Sample Area,0,No rainfall,1
1/3/2025 16:00,Sample Area,0,No rainfall,1
1/3/2025 17:00,Sample Area,0,No rainfall,1
1/3/2025 18:00,Sample Area,0,No rainfall,1
1/3/2025 19:00,Sample Area,0,No rainfall,1
1/3/2025 20:00,Sample Area,0,No rainfall,1
1/3/2025 21:00,Sample Area,0,No rainfall,1
1/3/2025 22:00,Sample Area,0,No rainfall,1
1/3/2025 23:00,Sample Area,0,No rainfall,1
1/4/2025 0:00,Sample Area,0,No rainfall,1
1/4/2025 1:00,Sample Area,0,No rainfall,1
1/4/2025 2:00,Sample Area,0.99,Moderate,1
1/4/2025 3:00,Sample Area,0,No rainfall,1
1/4/2025 4:00,Sample Area,0,No rainfall,1
1/4/2025 5:00,Sample Area,0,No rainfall,1
1/4/2025 6:00,Sample Area,0.22,Slight,1
1/4/2025 7:00,Sample Area,0.14,Slight,1
1/4/2025 8:00,Sample Area,0,No rainfall,1
1/4/2025 9:00,Sample Area,0,No rainfall,1
1/4/2025 10:00,Sample Area,0,No rainfall,1
1/4/2025 11:00,Sample Area,0.68,Moderate,1
1/4/2025 12:00,Sample Area,0,No rainfall,1
1/4/2025 13:00,Sample Area,0.33,Slight,1
1/4/2025 14:00,Sample Area,0,No rainfall,1
1/4/2025 15:00,Sample Area,0,No rainfall,1
1/4/2025 16:00,Sample Area,0,No rainfall,1
1/4/2025 17:00,Sample Area,0,No rainfall,1
1/4/2025 18:00,Sample Area,0.27,Slight,1
1/4/2025 19:00,Sample Area,0,No rainfall,1
1/4/2025 20:00,Sample Area,0.83,Moderate,1
1/4/2025 21:00,Sample Area,0,No rainfall,1
1/4/2025 22:00,Sample Area,0,No rainfall,1
1/4/2025 23:00,Sample Area,0,No rainfall,1
1/5/2025 0:00,Sample Area,0,No rainfall,1
1/5/2025 1:00,Sample Area,0,No rainfall,1
1/5/2025 2:00,Sample Area,0.39,Slight,1
1/5/2025 3:00,Sample Area,0,No rainfall,1
1/5/2025 4:00,Sample Area,0,No rainfall,1
1/5/2025 5:00,Sample Area,0.79,Moderate,1
1/5/2025 6:00,Sample Area,0,No rainfall,1
1/5/2025 7:00,Sample Area,0,No rainfall,1
1/5/2025 8:00,Sample Area,0,No rainfall,1
1/5/2025 9:00,Sample Area,0,No rainfall,1
1/5/2025 10:00,Sample Area,0,No rainfall,1
1/5/2025 11:00,Sample Area,0,No rainfall,1
1/5/2025 12:00,Sample Area,0.66,Moderate,1
1/5/2025 13:00,Sample Area,0,No rainfall,1
1/5/2025 14:00,Sample Area,0,No rainfall,1
1/5/2025 15:00,Sample Area,0,No rainfall,1
1/5/2025 16:00,Sample Area,0.81,Moderate,1
1/5/2025 17:00,Sample Area,0,No rainfall,1
1/5/2025 18:00,Sample Area,0,No rainfall,1
1/5/2025 19:00,Sample Area,0,No rainfall,1
1/5/2025 20:00,Sample Area,0,No rainfall,1
1/5/2025 21:00,Sample Area,0,No rainfall,1
1/5/2025 22:00,Sample Area,0,No rainfall,1
1/5/2025 23:00,Sample Area,0,No rainfall,1
1/6/2025 0:00,Sample Area,0,No rainfall,1
1/6/2025 1:00,Sample Area,0,No rainfall,1
1/6/2025 2:00,Sample Area,0,No rainfall,1
1/6/2025 3:00,Sample Area,0,No rainfall,1
1/6/2025 4:00,Sample Area,0,No rainfall,1
1/6/2025 5:00,Sample Area,0,No rainfall,1
1/6/2025 6:00,Sample Area,0,No rainfall,1
1/6/2025 7:00,Sample Area,0,No rainfall,1
1/6/2025 8:00,Sample Area,0,No rainfall,1
1/6/2025 9:00,Sample Area,0,No rainfall,1
1/6/2025 10:00,Sample Area,0,No rainfall,1
1/6/2025 11:00,Sample Area,0,No rainfall,1
1/6/2025 12:00,Sample Area,0,No rainfall,1
1/6/2025 13:00,Sample Area,0,No rainfall,1
1/6/2025 14:00,Sample Area,0.65,Moderate,1
1/6/2025 15:00,Sample Area,0,No rainfall,1
1/6/2025 16:00,Sample Area,0,No rainfall,1
1/6/2025 17:00,Sample Area,0,No rainfall,1
1/6/2025 18:00,Sample Area,0,No rainfall,1
1/6/2025 19:00,Sample Area,0,No rainfall,1
1/6/2025 20:00,Sample Area,0,No rainfall,1
1/6/2025 21:00,Sample Area,0,No rainfall,1
1/6/2025 22:00,Sample Area,0,No rainfall,1
1/6/2025 23:00,Sample Area,0,No rainfall,1
1/7/2025 0:00,Sample Area,0,No rainfall,1
1/7/2025 1:00,Sample Area,0,No rainfall,1
1/7/2025 2:00,Sample Area,0,No rainfall,1
1/7/2025 3:00,Sample Area,0.58,Moderate,1
1/7/2025 4:00,Sample Area,0,No rainfall,1
1/7/2025 5:00,Sample Area,0,No rainfall,1
1/7/2025 6:00,Sample Area,0,No rainfall,1
1/7/2025 7:00,Sample Area,0,No rainfall,1
1/7/2025 8:00,Sample Area,0,No rainfall,1
1/7/2025 9:00,Sample Area,0,No rainfall,1
1/7/2025 10:00,Sample Area,0,No rainfall,1
1/7/2025 11:00,Sample Area,0,No rainfall,1
1/7/2025 12:00,Sample Area,0,No rainfall,1
1/7/2025 13:00,Sample Area,0,No rainfall,1
1/7/2025 14:00,Sample Area,0,No rainfall,1
1/7/2025 15:00,Sample Area,0,No rainfall,1
1/7/2025 16:00,Sample Area,0,No rainfall,1
1/7/2025 17:00,Sample Area,0,No rainfall,1
1/7/2025 18:00,Sample Area,0,No rainfall,1
1/7/2025 19:00,Sample Area,0,No rainfall,1
1/7/2025 20:00,Sample Area,0,No rainfall,1
1/7/2025 21:00,Sample Area,0,No rainfall,1
1/7/2025 22:00,Sample Area,0,No rainfall,1
1/7/2025 23:00,Sample Area,0,No rainfall,1
1/8/2025 0:00,Sample Area,0,No rainfall,1
1/8/2025 1:00,Sample Area,0,No rainfall,1
1/8/2025 2:00,Sample Area,0.88,Moderate,1
1/8/2025 3:00,Sample Area,0.59,Moderate,1
1/8/2025 4:00,Sample Area,0,No rainfall,1
1/8/2025 5:00,Sample Area,0,No rainfall,1
1/8/2025 6:00,Sample Area,0,No rainfall,1
1/8/2025 7:00,Sample Area,0,No rainfall,1
1/8/2025 8:00,Sample Area,0.39,Slight,1
1/8/2025 9:00,Sample Area,0,No rainfall,1
1/8/2025 10:00,Sample Area,0,No rainfall,1
1/8/2025 11:00,Sample Area,0,No rainfall,1
1/8/2025 12:00,Sample Area,0,No rainfall,1
1/8/2025 13:00,Sample Area,0,No rainfall,1
1/8/2025 14:00,Sample Area,0,No rainfall,1
1/8/2025 15:00,Sample Area,0,No rainfall,1
1/8/2025 16:00,Sample Area,0.11,Slight,1
1/8/2025 17:00,Sample Area,0,No rainfall,1
1/8/2025 18:00,Sample Area,0,No rainfall,1
1/8/2025 19:00,Sample Area,0,No rainfall,1
1/8/2025 20:00,Sample Area,0,No rainfall,1
1/8/2025 21:00,Sample Area,0,No rainfall,1
1/8/2025 22:00,Sample Area,0,No rainfall,1
1/8/2025 23:00,Sample Area,0,No rainfall,1
1/9/2025 0:00,Sample Area,0,No rainfall,1
1/9/2025 1:00,Sample Area,0,No rainfall,1
1/9/2025 2:00,Sample Area,0,No rainfall,1
1/9/2025 3:00,Sample Area,0,No rainfall,1
1/9/2025 4:00,Sample Area,0,No rainfall,1
1/9/2025 5:00,Sample Area,0,No rainfall,1
1/9/2025 6:00,Sample Area,0,No rainfall,1
1/9/2025 7:00,Sample Area,0,No rainfall,1
1/9/2025 8:00,Sample Area,0,No rainfall,1
1/9/2025 9:00,Sample Area,0,No rainfall,1
1/9/2025 10:00,Sample Area,0,No rainfall,1
1/9/2025 11:00,Sample Area,0,No rainfall,1
1/9/2025 12:00,Sample Area,0,No rainfall,1
1/9/2025 13:00,Sample Area,0,No rainfall,1
1/9/2025 14:00,Sample Area,0,No rainfall,1
1/9/2025 15:00,Sample Area,0,No rainfall,1
1/9/2025 16:00,Sample Area,0.7,Moderate,1
1/9/2025 17:00,Sample Area,0,No rainfall,1
1/9/2025 18:00,Sample Area,0,No rainfall,1
1/9/2025 19:00,Sample Area,0.56,Moderate,1
1/9/2025 20:00,Sample Area,0,No rainfall,1
1/9/2025 21:00,Sample Area,0,No rainfall,1
1/9/2025 22:00,Sample Area,0.47,Slight,1
1/9/2025 23:00,Sample Area,0,No rainfall,1
1/10/2025 0:00,Sample Area,0,No rainfall,1
1/10/2025 1:00,Sample Area,0,No rainfall,1
1/10/2025 2:00,Sample Area,0,No rainfall,1
1/10/2025 3:00,Sample Area,0,No rainfall,1
1/10/2025 4:00,Sample Area,0,No rainfall,1
1/10/2025 5:00,Sample Area,0,No rainfall,1
1/10/2025 6:00,Sample Area,0.27,Slight,1
1/10/2025 7:00,Sample Area,0,No rainfall,1
1/10/2025 8:00,Sample Area,0,No rainfall,1
1/10/2025 9:00,Sample Area,0,No rainfall,1
1/10/2025 10:00,Sample Area,0,No rainfall,1
1/10/2025 11:00,Sample Area,0,No rainfall,1
1/10/2025 12:00,Sample Area,0,No rainfall,1
1/10/2025 13:00,Sample Area,0,No rainfall,1
1/10/2025 14:00,Sample Area,0,No rainfall,1
1/10/2025 15:00,Sample Area,0,No rainfall,1
1/10/2025 16:00,Sample Area,0,No rainfall,1
1/10/2025 17:00,Sample Area,0,No rainfall,1
1/10/2025 18:00,Sample Area,0,No rainfall,1
1/10/2025 19:00,Sample Area,0,No rainfall,1
1/10/2025 20:00,Sample Area,0,No rainfall,1
1/10/2025 21:00,Sample Area,0,No rainfall,1
1/10/2025 22:00,Sample Area,0.36,Slight,1
1/10/2025 23:00,Sample Area,0,No rainfall,1
1/11/2025 0:00,Sample Area,0,No rainfall,1
1/11/2025 1:00,Sample Area,0,No rainfall,1
1/11/2025 2:00,Sample Area,0,No rainfall,1
1/11/2025 3:00,Sample Area,0,No rainfall,1
1/11/2025 4:00,Sample Area,0,No rainfall,1
1/11/2025 5:00,Sample Area,0,No rainfall,1
1/11/2025 6:00,Sample Area,0,No rainfall,1
1/11/2025 7:00,Sample Area,0,No rainfall,1
1/11/2025 8:00,Sample Area,0,No rainfall,1
1/11/2025 9:00,Sample Area,0,No rainfall,1
1/11/2025 10:00,Sample Area,0,No rainfall,1
1/11/2025 11:00,Sample Area,0,No rainfall,1
1/11/2025 12:00,Sample Area,0,No rainfall,1
1/11/2025 13:00,Sample Area,0,No rainfall,1
1/11/2025 14:00,Sample Area,0,No rainfall,1
1/11/2025 15:00,Sample Area,0,No rainfall,1
1/11/2025 16:00,Sample Area,0,No rainfall,1
1/11/2025 17:00,Sample Area,0,No rainfall,1
1/11/2025 18:00,Sample Area,0.17,Slight,1
1/11/2025 19:00,Sample Area,0,No rainfall,1
1/11/2025 20:00,Sample Area,0,No rainfall,1
1/11/2025 21:00,Sample Area,0,No rainfall,1
1/11/2025 22:00,Sample Area,0,No rainfall,1
1/11/2025 23:00,Sample Area,0,No rainfall,1
1/12/2025 0:00,Sample Area,0.29,Slight,1
1/12/2025 1:00,Sample Area,0,No rainfall,1
1/12/2025 2:00,Sample Area,0,No rainfall,1
1/12/2025 3:00,Sample Area,0,No rainfall,1
1/12/2025 4:00,Sample Area,0,No rainfall,1
1/12/2025 5:00,Sample Area,0,No rainfall,1
1/12/2025 6:00,Sample Area,0,No rainfall,1
1/12/2025 7:00,Sample Area,0,No rainfall,1
1/12/2025 8:00,Sample Area,0,No rainfall,1
1/12/2025 9:00,Sample Area,0,No rainfall,1
1/12/2025 10:00,Sample Area,0,No rainfall,1
1/12/2025 11:00,Sample Area,0,No rainfall,1
1/12/2025 12:00,Sample Area,0.45,Slight,1
1/12/2025 13:00,Sample Area,0,No rainfall,1
1/12/2025 14:00,Sample Area,0,No rainfall,1
1/12/2025 15:00,Sample Area,0.76,Moderate,1
1/12/2025 16:00,Sample Area,0,No rainfall,1
1/12/2025 17:00,Sample Area,0,No rainfall,1
1/12/2025 18:00,Sample Area,0,No rainfall,1
1/12/2025 19:00,Sample Area,0,No rainfall,1
1/12/2025 20:00,Sample Area,0,No rainfall,1
1/12/2025 21:00,Sample Area,0,No rainfall,1
1/12/2025 22:00,Sample Area,0.34,Slight,1
1/12/2025 23:00,Sample Area,0,No rainfall,1
1/13/2025 0:00,Sample Area,0,No rainfall,1
1/13/2025 1:00,Sample Area,0,No rainfall,1
1/13/2025 2:00,Sample Area,0,No rainfall,1
1/13/2025 3:00,Sample Area,0,No rainfall,1
1/13/2025 4:00,Sample Area,0,No rainfall,1
1/13/2025 5:00,Sample Area,0,No rainfall,1
1/13/2025 6:00,Sample Area,0,No rainfall,1
1/13/2025 7:00,Sample Area,0,No rainfall,1
1/13/2025 8:00,Sample Area,0,No rainfall,1
1/13/2025 9:00,Sample Area,0,No rainfall,1
1/13/2025 10:00,Sample Area,0.64,Moderate,1
1/13/2025 11:00,Sample Area,0,No rainfall,1
1/13/2025 12:00,Sample Area,0,No rainfall,1
1/13/2025 13:00,Sample Area,0,No rainfall,1
1/13/2025 14:00,Sample Area,0.59,Moderate,1
1/13/2025 15:00,Sample Area,0,No rainfall,1
1/13/2025 16:00,Sample Area,0,No rainfall,1
1/13/2025 17:00,Sample Area,0,No rainfall,1
1/13/2025 18:00,Sample Area,0,No rainfall,1
1/13/2025 19:00,Sample Area,0,No rainfall,1
1/13/2025 20:00,Sample Area,0,No rainfall,1
1/13/2025 21:00,Sample Area,0,No rainfall,1
1/13/2025 22:00,Sample Area,0,No rainfall,1
1/13/2025 23:00,Sample Area,0,No rainfall,1
1/14/2025 0:00,Sample Area,0,No rainfall,1
1/14/2025 1:00,Sample Area,0,No rainfall,1
1/14/2025 2:00,Sample Area,0,No rainfall,1
1/14/2025 3:00,Sample Area,0,No rainfall,1
1/14/2025 4:00,Sample Area,0,No rainfall,1
1/14/2025 5:00,Sample Area,0.88,Moderate,1
1/14/2025 6:00,Sample Area,0,No rainfall,1
1/14/2025 7:00,Sample Area,0,No rainfall,1
1/14/2025 8:00,Sample Area,0,No rainfall,1
1/14/2025 9:00,Sample Area,0,No rainfall,1
1/14/2025 10:00,Sample Area,0,No rainfall,1
1/14/2025 11:00,Sample Area,0,No rainfall,1
1/14/2025 12:00,Sample Area,0,No rainfall,1
1/14/2025 13:00,Sample Area,0,No rainfall,1
1/14/2025 14:00,Sample Area,0,No rainfall,1
1/14/2025 15:00,Sample Area,0,No rainfall,1
1/14/2025 16:00,Sample Area,0,No rainfall,1
1/14/2025 17:00,Sample Area,0,No rainfall,1
1/14/2025 18:00,Sample Area,0,No rainfall,1
1/14/2025 19:00,Sample Area,0,No rainfall,1
1/14/2025 20:00,Sample Area,0,No rainfall,1
1/14/2025 21:00,Sample Area,0,No rainfall,1
1/14/2025 22:00,Sample Area,0,No rainfall,1
1/14/2025 23:00,Sample Area,0,No rainfall,1
1/15/2025 0:00,Sample Area,0,No rainfall,1
1/15/2025 1:00,Sample Area,0,No rainfall,1
1/15/2025 2:00,Sample Area,0,No rainfall,1
1/15/2025 3:00,Sample Area,0,No rainfall,1
1/15/2025 4:00,Sample Area,0,No rainfall,1
1/15/2025 5:00,Sample Area,0,No rainfall,1
1/15/2025 6:00,Sample Area,0,No rainfall,1
1/15/2025 7:00,Sample Area,0,No rainfall,1
1/15/2025 8:00,Sample Area,0,No rainfall,1
1/15/2025 9:00,Sample Area,0.17,Slight,1
1/15/2025 10:00,Sample Area,0.26,Slight,1
1/15/2025 11:00,Sample Area,0,No rainfall,1
1/15/2025 12:00,Sample Area,0,No rainfall,1
1/15/2025 13:00,Sample Area,0,No rainfall,1
1/15/2025 14:00,Sample Area,0,No rainfall,1
1/15/2025 15:00,Sample Area,0,No rainfall,1
1/15/2025 16:00,Sample Area,0,No rainfall,1
1/15/2025 17:00,Sample Area,0.58,Moderate,1
1/15/2025 18:00,Sample Area,0,No rainfall,1
1/15/2025 19:00,Sample Area,0,No rainfall,1
1/15/2025 20:00,Sample Area,0,No rainfall,1
1/15/2025 21:00,Sample Area,0,No rainfall,1
1/15/2025 22:00,Sample Area,0,No rainfall,1
1/15/2025 23:00,Sample Area,0,No rainfall,1
1/16/2025 0:00,Sample Area,0,No rainfall,1
1/16/2025 1:00,Sample Area,0,No rainfall,1
1/16/2025 2:00,Sample Area,0,No rainfall,1
1/16/2025 3:00,Sample Area,0,No rainfall,1
1/16/2025 4:00,Sample Area,0,No rainfall,1
1/16/2025 5:00,Sample Area,0,No rainfall,1
1/16/2025 6:00,Sample Area,0,No rainfall,1
1/16/2025 7:00,Sample Area,0,No rainfall,1
1/16/2025 8:00,Sample Area,0,No rainfall,1
1/16/2025 9:00,Sample Area,0,No rainfall,1
1/16/2025 10:00,Sample Area,0,No rainfall,1
1/16/2025 11:00,Sample Area,0,No rainfall,1
1/16/2025 12:00,Sample Area,0,No rainfall,1
1/16/2025 13:00,Sample Area,0.62,Moderate,1
1/16/2025 14:00,Sample Area,0.42,Slight,1
1/16/2025 15:00,Sample Area,0,No rainfall,1
1/16/2025 16:00,Sample Area,0,No rainfall,1
1/16/2025 17:00,Sample Area,0,No rainfall,1
1/16/2025 18:00,Sample Area,0,No rainfall,1
1/16/2025 19:00,Sample Area,0,No rainfall,1
1/16/2025 20:00,Sample Area,0,No rainfall,1
1/16/2025 21:00,Sample Area,0,No rainfall,1
1/16/2025 22:00,Sample Area,0,No rainfall,1
1/16/2025 23:00,Sample Area,0,No rainfall,1
1/17/2025 0:00,Sample Area,0,No rainfall,1
1/17/2025 1:00,Sample Area,0,No rainfall,1
1/17/2025 2:00,Sample Area,0,No rainfall,1
1/17/2025 3:00,Sample Area,0.42,Slight,1
1/17/2025 4:00,Sample Area,0,No rainfall,1
1/17/2025 5:00,Sample Area,0,No rainfall,1
1/17/2025 6:00,Sample Area,0.76,Moderate,1
1/17/2025 7:00,Sample Area,0,No rainfall,1
1/17/2025 8:00,Sample Area,0,No rainfall,1
1/17/2025 9:00,Sample Area,0,No rainfall,1
1/17/2025 10:00,Sample Area,0,No rainfall,1
1/17/2025 11:00,Sample Area,0,No rainfall,1
1/17/2025 12:00,Sample Area,0.54,Moderate,1
1/17/2025 13:00,Sample Area,0,No rainfall,1
1/17/2025 14:00,Sample Area,0,No rainfall,1
1/17/2025 15:00,Sample Area,0,No rainfall,1
1/17/2025 16:00,Sample Area,0,No rainfall,1
1/17/2025 17:00,Sample Area,0,No rainfall,1
1/17/2025 18:00,Sample Area,0,No rainfall,1
1/17/2025 19:00,Sample Area,0,No rainfall,1
1/17/2025 20:00,Sample Area,0,No rainfall,1
1/17/2025 21:00,Sample Area,0,No rainfall,1
1/17/2025 22:00,Sample Area,0,No rainfall,1
1/17/2025 23:00,Sample Area,0,No rainfall,1
1/18/2025 0:00,Sample Area,0,No rainfall,1
1/18/2025 1:00,Sample Area,0,No rainfall,1
1/18/2025 2:00,Sample Area,0,No rainfall,1
1/18/2025 3:00,Sample Area,0,No rainfall,1
1/18/2025 4:00,Sample Area,0,No rainfall,1
1/18/2025 5:00,Sample Area,0.06,Slight,1
1/18/2025 6:00,Sample Area,0,No rainfall,1
1/18/2025 7:00,Sample Area,0,No rainfall,1
1/18/2025 8:00,Sample Area,0,No rainfall,1
1/18/2025 9:00,Sample Area,0,No rainfall,1
1/18/2025 10:00,Sample Area,0.24,Slight,1
1/18/2025 11:00,Sample Area,0,No rainfall,1
1/18/2025 12:00,Sample Area,0,No rainfall,1
1/18/2025 13:00,Sample Area,0,No rainfall,1
1/18/2025 14:00,Sample Area,0,No rainfall,1
1/18/2025 15:00,Sample Area,0,No rainfall,1
1/18/2025 16:00,Sample Area,0,No rainfall,1
1/18/2025 17:00,Sample Area,0,No rainfall,1
1/18/2025 18:00,Sample Area,0,No rainfall,1
1/18/2025 19:00,Sample Area,0,No rainfall,1
1/18/2025 20:00,Sample Area,0,No rainfall,1
1/18/2025 21:00,Sample Area,0,No rainfall,1
1/18/2025 22:00,Sample Area,0,No rainfall,1
1/18/2025 23:00,Sample Area,0,No rainfall,1
1/19/2025 0:00,Sample Area,0,No rainfall,1
1/19/2025 1:00,Sample Area,0,No rainfall,1
1/19/2025 2:00,Sample Area,0,No rainfall,1
1/19/2025 3:00,Sample Area,0,No rainfall,1
1/19/2025 4:00,Sample Area,0.93,Moderate,1
1/19/2025 5:00,Sample Area,0,No rainfall,1
1/19/2025 6:00,Sample Area,0,No rainfall,1
1/19/2025 7:00,Sample Area,0,No rainfall,1
1/19/2025 8:00,Sample Area,0.38,Slight,1
1/19/2025 9:00,Sample Area,0,No rainfall,1
1/19/2025 10:00,Sample Area,0,No rainfall,1
1/19/2025 11:00,Sample Area,0,No rainfall,1
1/19/2025 12:00,Sample Area,0,No rainfall,1
1/19/2025 13:00,Sample Area,0,No rainfall,1
1/19/2025 14:00,Sample Area,0,No rainfall,1
1/19/2025 15:00,Sample Area,0,No rainfall,1
1/19/2025 16:00,Sample Area,0,No rainfall,1
1/19/2025 17:00,Sample Area,0,No rainfall,1
1/19/2025 18:00,Sample Area,0,No rainfall,1
1/19/2025 19:00,Sample Area,0.27,Slight,1
1/19/2025 20:00,Sample Area,0,No rainfall,1
1/19/2025 21:00,Sample Area,0,No rainfall,1
1/19/2025 22:00,Sample Area,0.46,Slight,1
1/19/2025 23:00,Sample Area,0.15,Slight,1
1/20/2025 0:00,Sample Area,0,No rainfall,1
1/20/2025 1:00,Sample Area,0.28,Slight,1
1/20/2025 2:00,Sample Area,0,No rainfall,1
1/20/2025 3:00,Sample Area,0,No rainfall,1
1/20/2025 4:00,Sample Area,0,No rainfall,1
1/20/2025 5:00,Sample Area,0,No rainfall,1
1/20/2025 6:00,Sample Area,0,No rainfall,1
1/20/2025 7:00,Sample Area,0,No rainfall,1
1/20/2025 8:00,Sample Area,0,No rainfall,1
1/20/2025 9:00,Sample Area,0,No rainfall,1
1/20/2025 10:00,Sample Area,0,No rainfall,1
1/20/2025 11:00,Sample Area,0,No rainfall,1
1/20/2025 12:00,Sample Area,0,No rainfall,1
1/20/2025 13:00,Sample Area,0,No rainfall,1
1/20/2025 14:00,Sample Area,0,No rainfall,1
1/20/2025 15:00,Sample Area,0,No rainfall,1
1/20/2025 16:00,Sample Area,0,No rainfall,1
1/20/2025 17:00,Sample Area,0,No rainfall,1
1/20/2025 18:00,Sample Area,0,No rainfall,1
1/20/2025 19:00,Sample Area,0.4,Slight,1
1/20/2025 20:00,Sample Area,0,No rainfall,1
1/20/2025 21:00,Sample Area,0,No rainfall,1
1/20/2025 22:00,Sample Area,0,No rainfall,1
1/20/2025 23:00,Sample Area,0,No rainfall,1
1/21/2025 0:00,Sample Area,0.58,Moderate,1
1/21/2025 1:00,Sample Area,0,No rainfall,1
1/21/2025 2:00,Sample Area,0,No rainfall,1
1/21/2025 3:00,Sample Area,0,No rainfall,1
1/21/2025 4:00,Sample Area,0,No rainfall,1
1/21/2025 5:00,Sample Area,0,No rainfall,1
1/21/2025 6:00,Sample Area,0,No rainfall,1
1/21/2025 7:00,Sample Area,0,No rainfall,1
1/21/2025 8:00,Sample Area,0,No rainfall,1
1/21/2025 9:00,Sample Area,0,No rainfall,1
1/21/2025 10:00,Sample Area,0,No rainfall,1
1/21/2025 11:00,Sample Area,0,No rainfall,1
1/21/2025 12:00,Sample Area,0,No rainfall,1
1/21/2025 13:00,Sample Area,0,No rainfall,1
1/21/2025 14:00,Sample Area,0,No rainfall,1
1/21/2025 15:00,Sample Area,0,No rainfall,1
1/21/2025 16:00,Sample Area,0,No rainfall,1
1/21/2025 17:00,Sample Area,0,No rainfall,1
1/21/2025 18:00,Sample Area,0,No rainfall,1
1/21/2025 19:00,Sample Area,0,No rainfall,1
1/21/2025 20:00,Sample Area,0,No rainfall,1
1/21/2025 21:00,Sample Area,0,No rainfall,1
1/21/2025 22:00,Sample Area,0,No rainfall,1
1/21/2025 23:00,Sample Area,0,No rainfall,1
1/22/2025 0:00,Sample Area,0,No rainfall,1
1/22/2025 1:00,Sample Area,0,No rainfall,1
1/22/2025 2:00,Sample Area,0,No rainfall,1
1/22/2025 3:00,Sample Area,0.11,Slight,1
1/22/2025 4:00,Sample Area,0,No rainfall,1
1/22/2025 5:00,Sample Area,0,No rainfall,1
1/22/2025 6:00,Sample Area,0,No rainfall,1
1/22/2025 7:00,Sample Area,0,No rainfall,1
1/22/2025 8:00,Sample Area,0,No rainfall,1
1/22/2025 9:00,Sample Area,0,No rainfall,1
1/22/2025 10:00,Sample Area,0,No rainfall,1
