Date,Daily_Rainfall_mm,Month,Season
2025-06-26,299.34,6,Summer
2025-06-27,261.78000000000003,6,Summer
2025-06-28,369.08,6,Summer
2025-06-29,240.81,6,Summer
2025-06-30,0.0,6,Summer
2025-07-01,736.16,7,Summer
2025-07-02,618.2,7,Summer
2025-07-03,523.06,7,Summer
2025-07-04,714.99,7,Summer
2025-07-05,759.9399999999999,7,Summer
2025-07-06,700.21,7,Summer
2025-07-07,714.61,7,Summer
2025-07-08,673.22,7,Summer
2025-07-09,776.84,7,Summer
2025-07-10,607.08,7,Summer
2025-07-11,637.07,7,Summer
2025-07-12,699.64,7,Summer
2025-07-13,715.37,7,Summer
2025-07-14,687.83,7,Summer
2025-07-15,569.68,7,Summer
2025-07-16,716.07,7,Summer
2025-07-17,562.94,7,Summer
2025-07-18,691.65,7,Summer
2025-07-19,702.56,7,Summer
2025-07-20,675.75,7,Summer
2025-07-21,690.75,7,Summer
2025-07-22,648.31,7,Summer
2025-07-23,683.3,7,Summer
2025-07-24,636.81,7,Summer
2025-07-25,518.52,7,Summer
2025-07-26,643.4300000000001,7,Summer
2025-07-27,607.23,7,Summer
2025-07-28,611.97,7,Summer
2025-07-29,610.62,7,Summer
2025-07-30,664.96,7,Summer
2025-07-31,32.83,7,Summer
2025-08-01,697.24,8,Summer
2025-08-02,629.14,8,Summer
2025-08-03,550.51,8,Summer
2025-08-04,677.93,8,Summer
2025-08-05,529.01,8,Summer
2025-08-06,510.66,8,Summer
2025-08-07,586.19,8,Summer
2025-08-08,712.03,8,Summer
2025-08-09,623.79,8,Summer
2025-08-10,561.1,8,Summer
2025-08-11,580.71,8,Summer
2025-08-12,542.65,8,Summer
2025-08-13,609.96,8,Summer
2025-08-14,476.75,8,Summer
2025-08-15,485.79,8,Summer
2025-08-16,663.51,8,Summer
2025-08-17,613.89,8,Summer
2025-08-18,666.95,8,Summer
2025-08-19,538.28,8,Summer
2025-08-20,626.57,8,Summer
2025-08-21,629.61,8,Summer
2025-08-22,604.01,8,Summer
2025-08-23,540.6,8,Summer
2025-08-24,520.78,8,Summer
2025-08-25,606.42,8,Summer
2025-08-26,687.38,8,Summer
2025-08-27,637.69,8,Summer
2025-08-28,497.59,8,Summer
2025-08-29,677.62,8,Summer
2025-08-30,711.62,8,Summer
2025-08-31,48.26,8,Summer
2025-09-01,329.15,9,Autumn
2025-09-02,433.07,9,Autumn
2025-09-03,237.01,9,Autumn
2025-09-04,339.84000000000003,9,Autumn
2025-09-05,312.1,9,Autumn
2025-09-06,346.11,9,Autumn
2025-09-07,347.07,9,Autumn
2025-09-08,205.02,9,Autumn
2025-09-09,329.13,9,Autumn
2025-09-10,380.43,9,Autumn
2025-09-11,360.36,9,Autumn
2025-09-12,290.13,9,Autumn
2025-09-13,247.03,9,Autumn
2025-09-14,299.08,9,Autumn
2025-09-15,394.36,9,Autumn
2025-09-16,301.21,9,Autumn
2025-09-17,301.59,9,Autumn
2025-09-18,194.6,9,Autumn
2025-09-19,338.65,9,Autumn
2025-09-20,301.58,9,Autumn
2025-09-21,309.25,9,Autumn
2025-09-22,342.19,9,Autumn
2025-09-23,384.78,9,Autumn
2025-09-24,299.23,9,Autumn
2025-09-25,431.98,9,Autumn
2025-09-26,403.09,9,Autumn
2025-09-27,403.79,9,Autumn
2025-09-28,340.33,9,Autumn
2025-09-29,352.45,9,Autumn
2025-09-30,22.32,9,Autumn
2025-10-01,65.26,10,Autumn
2025-10-02,104.57000000000001,10,Autumn
2025-10-03,124.32000000000001,10,Autumn
2025-10-04,173.16,10,Autumn
2025-10-05,147.06,10,Autumn
2025-10-06,116.92,10,Autumn
2025-10-07,116.58,10,Autumn
2025-10-08,115.03,10,Autumn
2025-10-09,153.04,10,Autumn
2025-10-10,164.7,10,Autumn
2025-10-11,115.08,10,Autumn
2025-10-12,126.02,10,Autumn
2025-10-13,85.55,10,Autumn
2025-10-14,107.58,10,Autumn
2025-10-15,105.31,10,Autumn
2025-10-16,144.53,10,Autumn
2025-10-17,112.87,10,Autumn
2025-10-18,68.25,10,Autumn
2025-10-19,90.54,10,Autumn
2025-10-20,104.7,10,Autumn
2025-10-21,110.46,10,Autumn
2025-10-22,96.18,10,Autumn
2025-10-23,105.64,10,Autumn
2025-10-24,162.43,10,Autumn
2025-10-25,115.37,10,Autumn
2025-10-26,147.62,10,Autumn
2025-10-27,167.44,10,Autumn
2025-10-28,105.59,10,Autumn
2025-10-29,93.1,10,Autumn
2025-10-30,129.27,10,Autumn
2025-10-31,0.0,10,Autumn
2025-11-01,8.74,11,Autumn
2025-11-02,22.68,11,Autumn
2025-11-03,14.190000000000001,11,Autumn
2025-11-04,28.46,11,Autumn
2025-11-05,5.8,11,Autumn
2025-11-06,18.68,11,Autumn
2025-11-07,13.78,11,Autumn
2025-11-08,12.84,11,Autumn
2025-11-09,11.0,11,Autumn
2025-11-10,21.63,11,Autumn
2025-11-11,10.84,11,Autumn
2025-11-12,7.74,11,Autumn
2025-11-13,21.6,11,Autumn
2025-11-14,8.379999999999999,11,Autumn
2025-11-15,3.2800000000000002,11,Autumn
2025-11-16,16.54,11,Autumn
2025-11-17,15.829999999999998,11,Autumn
2025-11-18,15.9,11,Autumn
2025-11-19,17.96,11,Autumn
2025-11-20,18.59,11,Autumn
2025-11-21,23.419999999999998,11,Autumn
2025-11-22,20.28,11,Autumn
2025-11-23,15.6,11,Autumn
2025-11-24,11.23,11,Autumn
2025-11-25,11.89,11,Autumn
2025-11-26,18.19,11,Autumn
2025-11-27,18.17,11,Autumn
2025-11-28,25.79,11,Autumn
2025-11-29,20.419999999999998,11,Autumn
2025-11-30,0.0,11,Autumn
2025-12-01,3.21,12,Winter
2025-12-02,4.52,12,Winter
2025-12-03,2.36,12,Winter
2025-12-04,1.54,12,Winter
2025-12-05,1.9500000000000002,12,Winter
2025-12-06,4.13,12,Winter
2025-12-07,3.41,12,Winter
2025-12-08,4.15,12,Winter
2025-12-09,0.78,12,Winter
2025-12-10,3.02,12,Winter
2025-12-11,4.41,12,Winter
2025-12-12,1.19,12,Winter
2025-12-13,0.44,12,Winter
2025-12-14,2.94,12,Winter
2025-12-15,2.42,12,Winter
2025-12-16,2.7699999999999996,12,Winter
2025-12-17,1.93,12,Winter
2025-12-18,0.9,12,Winter
2025-12-19,4.67,12,Winter
2025-12-20,5.26,12,Winter
2025-12-21,3.03,12,Winter
2025-12-22,5.29,12,Winter
2025-12-23,1.33,12,Winter
2025-12-24,0.87,12,Winter
2025-12-25,4.37,12,Winter
2025-12-26,2.3099999999999996,12,Winter
2025-12-27,2.1,12,Winter
2025-12-28,1.63,12,Winter
2025-12-29,4.32,12,Winter
2025-12-30,2.77,12,Winter
2025-12-31,1.13,12,Winter
