Building ID,Rooftop Area (m²),Total_Collection_L
94,266,15413.316534000001
95,210,12168.40779
96,98,5678.5903020000005
97,273,15818.930127000001
98,290,16803.991710000002
99,84,4867.363116
100,221,12805.800579
101,151,8749.664649
102,267,15471.261333
103,60,3476.68794
104,148,8575.830252
105,249,14428.254951
106,159,9213.223041000001
107,255,14775.923745000002
108,123,7127.210277000001
109,243,14080.586157000002
110,223,12921.690176999999
111,58,3360.798342
112,52,3013.1295480000003
113,134,7764.603066000001
114,75,4345.859925
115,121,7011.320679
116,97,5620.645503000001
117,243,14080.586157000002
118,247,14312.365353
119,205,11878.683795000003
120,166,9618.836634
121,270,15645.095730000001
122,203,11762.794197000001
123,202,11704.849398
124,61,3534.632739
125,182,10545.953418
126,275,15934.819725
127,97,5620.645503000001
128,86,4983.252713999999
129,256,14833.868543999999
130,93,5388.866307000001
131,277,16050.709323
132,64,3708.4671359999998
133,92,5330.921508
134,225,13037.579775
135,136,7880.492664000001
136,119,6895.431081000001
137,95,5504.755905
138,291,16861.936509000003
139,157,9097.333443
140,172,9966.505427999999
141,220,12747.85578
142,286,16572.212514
143,70,4056.1359300000004
144,200,11588.9598
145,156,9039.388644
146,296,17151.660504
147,129,7474.879071
148,96,5562.700704000001
149,166,9618.836634
150,173,10024.450227
151,192,11125.401408000002
152,74,4287.915126
153,85,4925.307915
154,252,14602.089348000001
155,100,5794.4799
156,64,3708.4671359999998
157,117,6779.541483
158,70,4056.1359300000004
159,190,11009.51181
160,263,15239.482137
161,68,3940.2463320000006
162,83,4809.418317
163,127,7358.9894730000005
164,174,10082.395026
165,245,14196.475755
166,289,16746.046911
167,166,9618.836634
168,101,5852.424699
169,287,16630.157313
170,76,4403.8047240000005
171,206,11936.628594
172,288,16688.102112
173,205,11878.683795000003
174,84,4867.363116
175,185,10719.787815
176,193,11183.346207
177,155,8981.443845
178,213,12342.242187000002
179,207,11994.573392999999
180,195,11299.235805
181,51,2955.184749
182,226,13095.524574
183,126,7301.044674000001
184,181,10488.008619
185,139,8054.327061000001
186,138,7996.382262
187,143,8286.106257
188,252,14602.089348000001
189,56,3244.9087440000003
190,144,8344.051056
191,157,9097.333443
192,123,7127.210277000001
193,88,5099.142312
194,190,11009.51181
195,208,12052.518192000001
196,120,6953.37588
197,240,13906.75176
198,105,6084.203895
199,290,16803.991710000002
200,219,12689.910981
201,238,13790.862162000001
202,91,5272.976709
203,233,13501.138167000001
204,85,4925.307915
205,133,7706.658267000001
206,245,14196.475755
207,167,9676.781433
208,56,3244.9087440000003
209,103,5968.314297
210,178,10314.174222000001
211,221,12805.800579
212,169,9792.671031
213,222,12863.745378
214,155,8981.443845
215,96,5562.700704000001
216,172,9966.505427999999
217,190,11009.51181
218,168,9734.726232
219,199,11531.015001
220,167,9676.781433
221,70,4056.1359300000004
222,263,15239.482137
223,269,15587.150931
224,186,10777.732614000002
225,75,4345.859925
226,58,3360.798342
227,64,3708.4671359999998
228,59,3418.7431410000004
229,265,15355.371734999999
230,171,9908.560629000001
231,170,9850.61583
232,174,10082.395026
233,219,12689.910981
234,121,7011.320679
235,201,11646.904599
236,257,14891.813343
237,98,5678.5903020000005
238,203,11762.794197000001
239,140,8112.271860000001
240,86,4983.252713999999
241,117,6779.541483
242,99,5736.5351009999995
243,201,11646.904599
244,68,3940.2463320000006
245,149,8633.775051
246,109,6315.983091
247,216,12516.076584
248,251,14544.144549
249,138,7996.382262
250,195,11299.235805
251,196,11357.180604000001
252,213,12342.242187000002
253,251,14544.144549
254,274,15876.874926
255,232,13443.193368
256,291,16861.936509000003
257,118,6837.486282000001
258,224,12979.634976000001
259,98,5678.5903020000005
260,276,15992.764524
261,157,9097.333443
262,275,15934.819725
263,210,12168.40779
264,168,9734.726232
265,198,11473.070201999999
266,258,14949.758142
267,199,11531.015001
268,225,13037.579775
269,86,4983.252713999999
270,192,11125.401408000002
271,212,12284.297388
272,269,15587.150931
273,248,14370.310151999998
274,209,12110.462991
275,60,3476.68794
276,187,10835.677413000001
277,250,14486.19975
278,127,7358.9894730000005
279,126,7301.044674000001
280,234,13559.082966
281,202,11704.849398
282,51,2955.184749
283,113,6547.762287
284,84,4867.363116
285,56,3244.9087440000003
286,134,7764.603066000001
287,195,11299.235805
288,116,6721.596684
289,91,5272.976709
290,167,9676.781433
291,174,10082.395026
292,216,12516.076584
293,218,12631.966182
294,290,16803.991710000002
295,252,14602.089348000001
296,280,16224.543720000001
297,73,4229.970327000001
298,237,13732.917363
299,95,5504.755905
300,68,3940.2463320000006
301,117,6779.541483
302,267,15471.261333
303,151,8749.664649
304,91,5272.976709
305,81,4693.528719000001
306,216,12516.076584
307,158,9155.278242
308,287,16630.157313
309,85,4925.307915
310,281,16282.488519
311,278,16108.654122000002
312,146,8459.940654000002
313,213,12342.242187000002
314,180,10430.06382
315,122,7069.265478
316,185,10719.787815
317,146,8459.940654000002
318,172,9966.505427999999
319,119,6895.431081000001
320,218,12631.966182
321,280,16224.543720000001
322,245,14196.475755
323,62,3592.5775379999995
324,98,5678.5903020000005
325,109,6315.983091
326,179,10372.119021
327,237,13732.917363
328,54,3129.019146
329,221,12805.800579
330,76,4403.8047240000005
331,209,12110.462991
332,198,11473.070201999999
333,57,3302.853543
334,279,16166.598921000003
335,249,14428.254951
336,99,5736.5351009999995
337,116,6721.596684
338,295,17093.715705
339,93,5388.866307000001
340,174,10082.395026
341,107,6200.093493
342,52,3013.1295480000003
343,135,7822.5478650000005
344,119,6895.431081000001
345,179,10372.119021
346,264,15297.426935999998
347,221,12805.800579
348,51,2955.184749
349,151,8749.664649
350,258,14949.758142
351,84,4867.363116
352,147,8517.885452999999
353,264,15297.426935999998
354,79,4577.639121
355,165,9560.891835
356,57,3302.853543
357,199,11531.015001
358,93,5388.866307000001
359,235,13617.027765
360,85,4925.307915
361,246,14254.420554000002
362,126,7301.044674000001
363,270,15645.095730000001
364,80,4635.58392
365,96,5562.700704000001
366,298,17267.550102
367,104,6026.259096000001
368,257,14891.813343
369,155,8981.443845
370,239,13848.806961
371,207,11994.573392999999
372,170,9850.61583
373,104,6026.259096000001
374,193,11183.346207
375,61,3534.632739
376,194,11241.291006000001
377,193,11183.346207
378,189,10951.567011000001
379,185,10719.787815
380,261,15123.592539000001
381,52,3013.1295480000003
382,193,11183.346207
383,79,4577.639121
384,286,16572.212514
385,72,4172.025528
386,141,8170.216659
387,164,9502.947036
388,153,8865.554247
389,167,9676.781433
390,54,3129.019146
391,261,15123.592539000001
392,153,8865.554247
393,297,17209.605303000004
394,157,9097.333443
395,114,6605.707086
396,170,9850.61583
397,79,4577.639121
398,198,11473.070201999999
399,133,7706.658267000001
400,247,14312.365353
401,199,11531.015001
402,259,15007.702941
403,249,14428.254951
404,280,16224.543720000001
405,81,4693.528719000001
406,210,12168.40779
407,294,17035.770905999998
408,65,3766.411935
409,253,14660.034147
410,87,5041.197513
411,293,16977.826107
412,275,15934.819725
413,191,11067.456608999999
414,85,4925.307915
415,274,15876.874926
416,200,11588.9598
417,163,9445.002237
418,286,16572.212514
419,115,6663.651885000001
420,154,8923.499046
421,134,7764.603066000001
422,51,2955.184749
423,268,15529.206132000001
424,298,17267.550102
425,250,14486.19975
426,242,14022.641358
427,124,7185.155075999999
428,116,6721.596684
429,229,13269.358971
430,239,13848.806961
431,200,11588.9598
432,203,11762.794197000001
433,245,14196.475755
434,259,15007.702941
435,104,6026.259096000001
436,55,3186.963945
437,212,12284.297388
438,199,11531.015001
439,220,12747.85578
440,192,11125.401408000002
441,135,7822.5478650000005
442,109,6315.983091
443,150,8691.71985
444,293,16977.826107
445,283,16398.378117
446,61,3534.632739
447,288,16688.102112
448,98,5678.5903020000005
449,91,5272.976709
450,215,12458.131785
451,131,7590.768669000001
452,222,12863.745378
453,84,4867.363116
454,207,11994.573392999999
455,265,15355.371734999999
456,283,16398.378117
457,207,11994.573392999999
458,255,14775.923745000002
459,183,10603.898217
460,116,6721.596684
461,129,7474.879071
462,56,3244.9087440000003
463,229,13269.358971
464,63,3650.5223370000003
465,122,7069.265478
466,192,11125.401408000002
467,198,11473.070201999999
468,212,12284.297388
469,115,6663.651885000001
470,140,8112.271860000001
471,179,10372.119021
472,212,12284.297388
473,259,15007.702941
474,255,14775.923745000002
475,69,3998.191131
476,259,15007.702941
477,59,3418.7431410000004
478,74,4287.915126
479,243,14080.586157000002
480,74,4287.915126
481,103,5968.314297
482,82,4751.473518
483,213,12342.242187000002
484,144,8344.051056
485,63,3650.5223370000003
486,114,6605.707086
487,159,9213.223041000001
488,129,7474.879071
489,103,5968.314297
490,287,16630.157313
491,174,10082.395026
492,229,13269.358971
493,180,10430.06382
494,276,15992.764524
495,218,12631.966182
496,183,10603.898217
497,74,4287.915126
498,190,11009.51181
499,166,9618.836634
500,275,15934.819725
501,185,10719.787815
502,198,11473.070201999999
503,275,15934.819725
504,245,14196.475755
505,74,4287.915126
506,128,7416.9342719999995
507,117,6779.541483
508,222,12863.745378
509,237,13732.917363
510,61,3534.632739
511,81,4693.528719000001
512,177,10256.229423
513,145,8401.995855000001
514,141,8170.216659
515,190,11009.51181
516,80,4635.58392
517,127,7358.9894730000005
518,69,3998.191131
519,195,11299.235805
520,270,15645.095730000001
521,109,6315.983091
522,240,13906.75176
523,183,10603.898217
524,209,12110.462991
525,142,8228.161458
526,92,5330.921508
527,179,10372.119021
528,109,6315.983091
529,200,11588.9598
530,260,15065.64774
531,80,4635.58392
532,292,16919.881308000004
533,54,3129.019146
534,260,15065.64774
535,211,12226.352589000002
536,59,3418.7431410000004
537,138,7996.382262
538,179,10372.119021
539,175,10140.339825000001
540,60,3476.68794
541,227,13153.469373000002
542,208,12052.518192000001
543,105,6084.203895
544,256,14833.868543999999
545,250,14486.19975
546,264,15297.426935999998
547,132,7648.713467999999
548,186,10777.732614000002
549,148,8575.830252
550,198,11473.070201999999
551,122,7069.265478
552,205,11878.683795000003
553,239,13848.806961
554,287,16630.157313
555,164,9502.947036
556,56,3244.9087440000003
557,129,7474.879071
558,193,11183.346207
559,146,8459.940654000002
560,53,3071.074347
561,53,3071.074347
562,152,8807.609448000001
563,89,5157.087111000001
564,66,3824.3567339999995
565,150,8691.71985
566,152,8807.609448000001
567,173,10024.450227
568,101,5852.424699
569,270,15645.095730000001
570,101,5852.424699
571,213,12342.242187000002
572,173,10024.450227
573,215,12458.131785
574,280,16224.543720000001
575,227,13153.469373000002
576,112,6489.817488000001
577,278,16108.654122000002
578,165,9560.891835
579,240,13906.75176
580,111,6431.872689
581,276,15992.764524
582,56,3244.9087440000003
583,204,11820.738996
584,141,8170.216659
585,263,15239.482137
586,63,3650.5223370000003
587,248,14370.310151999998
588,278,16108.654122000002
589,135,7822.5478650000005
590,182,10545.953418
591,232,13443.193368
592,179,10372.119021
593,111,6431.872689
594,268,15529.206132000001
595,198,11473.070201999999
596,295,17093.715705
597,279,16166.598921000003
598,128,7416.9342719999995
599,198,11473.070201999999
600,187,10835.677413000001
601,264,15297.426935999998
602,107,6200.093493
603,169,9792.671031
604,216,12516.076584
605,182,10545.953418
606,114,6605.707086
607,62,3592.5775379999995
608,262,15181.537338000002
609,267,15471.261333
610,291,16861.936509000003
611,286,16572.212514
612,262,15181.537338000002
613,230,13327.303770000002
614,131,7590.768669000001
615,278,16108.654122000002
616,222,12863.745378
617,209,12110.462991
618,213,12342.242187000002
619,258,14949.758142
620,276,15992.764524
621,290,16803.991710000002
622,237,13732.917363
623,188,10893.622212
624,240,13906.75176
625,198,11473.070201999999
626,101,5852.424699
627,232,13443.193368
628,166,9618.836634
629,75,4345.859925
630,245,14196.475755
631,83,4809.418317
632,101,5852.424699
633,161,9329.112639
634,131,7590.768669000001
635,281,16282.488519
636,276,15992.764524
637,282,16340.433318
638,270,15645.095730000001
639,229,13269.358971
640,206,11936.628594
641,215,12458.131785
642,91,5272.976709
643,70,4056.1359300000004
644,91,5272.976709
645,190,11009.51181
646,162,9387.057438000002
647,154,8923.499046
648,241,13964.696559
649,66,3824.3567339999995
650,169,9792.671031
651,186,10777.732614000002
652,218,12631.966182
653,178,10314.174222000001
654,179,10372.119021
655,109,6315.983091
656,97,5620.645503000001
657,78,4519.694322
658,146,8459.940654000002
659,59,3418.7431410000004
660,291,16861.936509000003
661,107,6200.093493
662,237,13732.917363
663,281,16282.488519
664,70,4056.1359300000004
665,77,4461.749523
666,252,14602.089348000001
667,296,17151.660504
668,83,4809.418317
669,57,3302.853543
670,236,13674.972564000002
671,263,15239.482137
672,249,14428.254951
673,226,13095.524574
674,128,7416.9342719999995
675,194,11241.291006000001
676,237,13732.917363
677,136,7880.492664000001
678,137,7938.437463
679,222,12863.745378
680,260,15065.64774
681,118,6837.486282000001
682,209,12110.462991
683,221,12805.800579
684,242,14022.641358
685,136,7880.492664000001
686,150,8691.71985
687,57,3302.853543
688,126,7301.044674000001
689,249,14428.254951
690,298,17267.550102
691,136,7880.492664000001
692,92,5330.921508
693,178,10314.174222000001
694,158,9155.278242
695,228,13211.414172
696,201,11646.904599
697,276,15992.764524
698,201,11646.904599
699,66,3824.3567339999995
700,182,10545.953418
701,197,11415.125403
702,70,4056.1359300000004
703,281,16282.488519
704,107,6200.093493
705,208,12052.518192000001
706,159,9213.223041000001
707,277,16050.709323
708,188,10893.622212
709,229,13269.358971
710,192,11125.401408000002
711,260,15065.64774
712,184,10661.843016
713,292,16919.881308000004
714,77,4461.749523
715,100,5794.4799
716,284,16456.322916
717,235,13617.027765
718,54,3129.019146
719,54,3129.019146
720,143,8286.106257
721,295,17093.715705
722,145,8401.995855000001
723,57,3302.853543
724,113,6547.762287
725,187,10835.677413000001
726,87,5041.197513
727,160,9271.16784
728,273,15818.930127000001
729,161,9329.112639
730,269,15587.150931
731,130,7532.82387
732,272,15760.985328000002
733,185,10719.787815
734,153,8865.554247
735,202,11704.849398
736,122,7069.265478
737,243,14080.586157000002
738,256,14833.868543999999
739,227,13153.469373000002
740,244,14138.530956
741,98,5678.5903020000005
742,85,4925.307915
743,175,10140.339825000001
744,117,6779.541483
745,127,7358.9894730000005
746,154,8923.499046
747,218,12631.966182
748,266,15413.316534000001
749,171,9908.560629000001
750,168,9734.726232
751,239,13848.806961
752,163,9445.002237
753,59,3418.7431410000004
754,198,11473.070201999999
755,213,12342.242187000002
756,189,10951.567011000001
757,140,8112.271860000001
758,281,16282.488519
759,51,2955.184749
760,167,9676.781433
761,62,3592.5775379999995
762,230,13327.303770000002
763,209,12110.462991
764,144,8344.051056
765,193,11183.346207
766,81,4693.528719000001
767,81,4693.528719000001
768,173,10024.450227
769,275,15934.819725
770,60,3476.68794
771,59,3418.7431410000004
772,64,3708.4671359999998
773,66,3824.3567339999995
774,217,12574.021383000001
775,195,11299.235805
776,232,13443.193368
777,250,14486.19975
778,202,11704.849398
779,281,16282.488519
780,108,6258.038292
781,127,7358.9894730000005
782,173,10024.450227
783,299,17325.494901000002
784,266,15413.316534000001
785,163,9445.002237
786,71,4114.080729
787,293,16977.826107
788,207,11994.573392999999
789,261,15123.592539000001
790,262,15181.537338000002
791,221,12805.800579
792,81,4693.528719000001
793,228,13211.414172
794,223,12921.690176999999
795,162,9387.057438000002
796,169,9792.671031
797,198,11473.070201999999
798,276,15992.764524
799,171,9908.560629000001
800,81,4693.528719000001
801,271,15703.040529
802,168,9734.726232
803,88,5099.142312
804,290,16803.991710000002
805,61,3534.632739
806,282,16340.433318
807,224,12979.634976000001
808,67,3882.3015330000003
809,198,11473.070201999999
810,190,11009.51181
811,198,11473.070201999999
812,175,10140.339825000001
813,185,10719.787815
814,95,5504.755905
815,153,8865.554247
816,287,16630.157313
817,184,10661.843016
818,200,11588.9598
819,285,16514.267715
820,273,15818.930127000001
821,252,14602.089348000001
822,135,7822.5478650000005
823,199,11531.015001
824,284,16456.322916
825,138,7996.382262
826,71,4114.080729
827,141,8170.216659
828,78,4519.694322
829,62,3592.5775379999995
830,259,15007.702941
831,51,2955.184749
832,78,4519.694322
833,262,15181.537338000002
834,256,14833.868543999999
835,229,13269.358971
836,76,4403.8047240000005
837,99,5736.5351009999995
838,144,8344.051056
839,256,14833.868543999999
840,292,16919.881308000004
841,200,11588.9598
842,137,7938.437463
843,93,5388.866307000001
844,254,14717.978946000001
845,71,4114.080729
846,220,12747.85578
847,214,12400.186986
848,238,13790.862162000001
849,146,8459.940654000002
850,233,13501.138167000001
851,52,3013.1295480000003
852,240,13906.75176
853,167,9676.781433
854,68,3940.2463320000006
855,72,4172.025528
856,206,11936.628594
857,79,4577.639121
858,88,5099.142312
859,157,9097.333443
860,160,9271.16784
861,74,4287.915126
862,177,10256.229423
863,278,16108.654122000002
864,160,9271.16784
865,185,10719.787815
866,155,8981.443845
867,235,13617.027765
868,193,11183.346207
869,121,7011.320679
870,178,10314.174222000001
871,157,9097.333443
872,54,3129.019146
873,52,3013.1295480000003
874,242,14022.641358
875,181,10488.008619
876,153,8865.554247
877,276,15992.764524
878,273,15818.930127000001
879,113,6547.762287
880,155,8981.443845
881,147,8517.885452999999
882,284,16456.322916
883,266,15413.316534000001
884,59,3418.7431410000004
885,198,11473.070201999999
886,177,10256.229423
887,95,5504.755905
888,280,16224.543720000001
889,268,15529.206132000001
890,204,11820.738996
891,115,6663.651885000001
892,218,12631.966182
893,161,9329.112639
894,62,3592.5775379999995
895,186,10777.732614000002
896,293,16977.826107
897,213,12342.242187000002
898,135,7822.5478650000005
899,283,16398.378117
900,139,8054.327061000001
901,107,6200.093493
902,103,5968.314297
903,61,3534.632739
904,258,14949.758142
905,255,14775.923745000002
906,63,3650.5223370000003
907,170,9850.61583
908,211,12226.352589000002
909,230,13327.303770000002
910,170,9850.61583
911,69,3998.191131
912,124,7185.155075999999
913,193,11183.346207
914,292,16919.881308000004
915,272,15760.985328000002
916,296,17151.660504
917,119,6895.431081000001
918,105,6084.203895
919,260,15065.64774
920,150,8691.71985
921,235,13617.027765
922,181,10488.008619
923,160,9271.16784
924,174,10082.395026
925,181,10488.008619
926,69,3998.191131
927,187,10835.677413000001
928,73,4229.970327000001
929,295,17093.715705
930,276,15992.764524
931,203,11762.794197000001
932,86,4983.252713999999
933,279,16166.598921000003
934,262,15181.537338000002
935,103,5968.314297
936,281,16282.488519
937,152,8807.609448000001
938,198,11473.070201999999
939,251,14544.144549
940,87,5041.197513
941,223,12921.690176999999
942,53,3071.074347
943,237,13732.917363
944,106,6142.148694
945,222,12863.745378
946,69,3998.191131
947,66,3824.3567339999995
948,168,9734.726232
949,120,6953.37588
950,53,3071.074347
951,270,15645.095730000001
952,63,3650.5223370000003
953,52,3013.1295480000003
954,265,15355.371734999999
955,278,16108.654122000002
956,129,7474.879071
957,235,13617.027765
958,104,6026.259096000001
959,293,16977.826107
960,181,10488.008619
961,169,9792.671031
962,73,4229.970327000001
963,211,12226.352589000002
964,207,11994.573392999999
965,131,7590.768669000001
966,196,11357.180604000001
967,208,12052.518192000001
968,237,13732.917363
969,109,6315.983091
970,196,11357.180604000001
971,98,5678.5903020000005
972,112,6489.817488000001
973,159,9213.223041000001
974,260,15065.64774
975,199,11531.015001
976,201,11646.904599
977,158,9155.278242
978,125,7243.099875
979,79,4577.639121
980,107,6200.093493
981,279,16166.598921000003
982,166,9618.836634
983,208,12052.518192000001
984,149,8633.775051
985,241,13964.696559
986,68,3940.2463320000006
987,225,13037.579775
988,222,12863.745378
989,277,16050.709323
990,143,8286.106257
991,232,13443.193368
992,162,9387.057438000002
993,232,13443.193368
994,274,15876.874926
995,195,11299.235805
996,112,6489.817488000001
997,165,9560.891835
998,162,9387.057438000002
999,269,15587.150931
1000,96,5562.700704000001
1001,252,14602.089348000001
1002,106,6142.148694
1003,167,9676.781433
1004,94,5446.811106
1005,210,12168.40779
1006,194,11241.291006000001
1007,247,14312.365353
1008,53,3071.074347
1009,197,11415.125403
1010,289,16746.046911
1011,96,5562.700704000001
1012,268,15529.206132000001
1013,192,11125.401408000002
1014,247,14312.365353
1015,96,5562.700704000001
1016,127,7358.9894730000005
1017,173,10024.450227
1018,124,7185.155075999999
1019,152,8807.609448000001
1020,186,10777.732614000002
1021,139,8054.327061000001
1022,193,11183.346207
1023,118,6837.486282000001
1024,298,17267.550102
1025,293,16977.826107
1026,110,6373.92789
1027,187,10835.677413000001
1028,99,5736.5351009999995
1029,52,3013.1295480000003
1030,254,14717.978946000001
1031,156,9039.388644
1032,162,9387.057438000002
1033,143,8286.106257
1034,167,9676.781433
1035,286,16572.212514
1036,247,14312.365353
1037,130,7532.82387
1038,158,9155.278242
1039,100,5794.4799
1040,294,17035.770905999998
1041,196,11357.180604000001
1042,219,12689.910981
1043,84,4867.363116
1044,95,5504.755905
1045,203,11762.794197000001
1046,292,16919.881308000004
1047,118,6837.486282000001
1048,142,8228.161458
1049,113,6547.762287
1050,214,12400.186986
1051,261,15123.592539000001
1052,98,5678.5903020000005
1053,198,11473.070201999999
1054,123,7127.210277000001
1055,241,13964.696559
1056,54,3129.019146
1057,149,8633.775051
1058,119,6895.431081000001
1059,139,8054.327061000001
1060,53,3071.074347
1061,175,10140.339825000001
1062,280,16224.543720000001
1063,88,5099.142312
1064,291,16861.936509000003
1065,212,12284.297388
1066,178,10314.174222000001
1067,73,4229.970327000001
1068,106,6142.148694
1069,149,8633.775051
1070,119,6895.431081000001
1071,90,5215.03191
1072,231,13385.248569
1073,223,12921.690176999999
1074,109,6315.983091
1075,157,9097.333443
1076,237,13732.917363
1077,106,6142.148694
1078,80,4635.58392
1079,133,7706.658267000001
1080,201,11646.904599
1081,266,15413.316534000001
1082,85,4925.307915
1083,262,15181.537338000002
1084,207,11994.573392999999
1085,201,11646.904599
1086,157,9097.333443
1087,155,8981.443845
1088,207,11994.573392999999
1089,135,7822.5478650000005
1090,269,15587.150931
1091,184,10661.843016
1092,212,12284.297388
1093,232,13443.193368
1094,269,15587.150931
1095,63,3650.5223370000003
1096,169,9792.671031
1097,187,10835.677413000001
1098,129,7474.879071
1099,193,11183.346207
1100,231,13385.248569
1101,272,15760.985328000002
1102,155,8981.443845
1103,266,15413.316534000001
1104,254,14717.978946000001
1105,119,6895.431081000001
1106,93,5388.866307000001
1107,122,7069.265478
1108,94,5446.811106
1109,277,16050.709323
1110,233,13501.138167000001
1111,156,9039.388644
1112,133,7706.658267000001
1113,131,7590.768669000001
1114,299,17325.494901000002
1115,156,9039.388644
1116,234,13559.082966
1117,70,4056.1359300000004
1118,245,14196.475755
1119,227,13153.469373000002
1120,210,12168.40779
1121,268,15529.206132000001
1122,56,3244.9087440000003
1123,119,6895.431081000001
1124,176,10198.284624
1125,192,11125.401408000002
1126,259,15007.702941
1127,209,12110.462991
1128,297,17209.605303000004
1129,252,14602.089348000001
1130,197,11415.125403
1131,265,15355.371734999999
1132,192,11125.401408000002
1133,225,13037.579775
1134,248,14370.310151999998
1135,198,11473.070201999999
1136,219,12689.910981
1137,203,11762.794197000001
1138,285,16514.267715
1139,169,9792.671031
1140,177,10256.229423
1141,191,11067.456608999999
1142,106,6142.148694
1143,214,12400.186986
1144,107,6200.093493
1145,70,4056.1359300000004
1146,131,7590.768669000001
1147,118,6837.486282000001
1148,180,10430.06382
1149,136,7880.492664000001
1150,267,15471.261333
1151,214,12400.186986
1152,265,15355.371734999999
1153,98,5678.5903020000005
1154,196,11357.180604000001
1155,164,9502.947036
1156,138,7996.382262
1157,134,7764.603066000001
1158,177,10256.229423
1159,189,10951.567011000001
1160,298,17267.550102
1161,238,13790.862162000001
1162,218,12631.966182
1163,210,12168.40779
1164,227,13153.469373000002
1165,166,9618.836634
1166,245,14196.475755
1167,176,10198.284624
1168,283,16398.378117
1169,298,17267.550102
1170,120,6953.37588
1171,135,7822.5478650000005
1172,296,17151.660504
1173,82,4751.473518
1174,130,7532.82387
1175,201,11646.904599
1176,110,6373.92789
1177,110,6373.92789
1178,147,8517.885452999999
1179,77,4461.749523
1180,235,13617.027765
1181,92,5330.921508
1182,218,12631.966182
1183,216,12516.076584
1184,135,7822.5478650000005
1185,226,13095.524574
1186,66,3824.3567339999995
1187,147,8517.885452999999
1188,247,14312.365353
1189,287,16630.157313
1190,247,14312.365353
1191,147,8517.885452999999
1192,114,6605.707086
1193,123,7127.210277000001
1194,134,7764.603066000001
1195,54,3129.019146
1196,51,2955.184749
1197,71,4114.080729
1198,161,9329.112639
1199,106,6142.148694
1200,115,6663.651885000001
1201,123,7127.210277000001
1202,147,8517.885452999999
1203,193,11183.346207
1204,161,9329.112639
1205,228,13211.414172
1206,174,10082.395026
1207,216,12516.076584
1208,135,7822.5478650000005
1209,125,7243.099875
1210,137,7938.437463
1211,288,16688.102112
1212,217,12574.021383000001
1213,87,5041.197513
1214,237,13732.917363
1215,108,6258.038292
1216,187,10835.677413000001
1217,148,8575.830252
1218,241,13964.696559
1219,292,16919.881308000004
1220,112,6489.817488000001
1221,98,5678.5903020000005
1222,241,13964.696559
1223,81,4693.528719000001
1224,184,10661.843016
1225,70,4056.1359300000004
1226,69,3998.191131
1227,203,11762.794197000001
1228,176,10198.284624
1229,117,6779.541483
1230,159,9213.223041000001
1231,165,9560.891835
1232,263,15239.482137
1233,192,11125.401408000002
1234,169,9792.671031
1235,281,16282.488519
1236,262,15181.537338000002
1237,128,7416.9342719999995
1238,263,15239.482137
1239,165,9560.891835
1240,141,8170.216659
1241,63,3650.5223370000003
1242,204,11820.738996
1243,174,10082.395026
1244,282,16340.433318
1245,217,12574.021383000001
1246,107,6200.093493
1247,77,4461.749523
1248,75,4345.859925
1249,162,9387.057438000002
1250,240,13906.75176
1251,115,6663.651885000001
1252,202,11704.849398
1253,297,17209.605303000004
1254,180,10430.06382
1255,249,14428.254951
1256,93,5388.866307000001
1257,146,8459.940654000002
1258,91,5272.976709
1259,293,16977.826107
1260,276,15992.764524
